,Brand,Model,Range,Price,Battery_Capacity,Charging_Speed,Acceleration,Top_Speed,Seating_Capacity,Launch_Date,Date,Sales,Efficiency,Drag_Coefficient,Tire_Rolling_Resistance,Primary_Manufacturing_Location,Secondary_Manufacturing_Location,Annual_Production_Capacity,Year_Operations_Started
1863,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2023-12-01,2023-12-01,137,0.36,0.34,0.01,Sweden,China,378616,2002
1864,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2019-06-17,2019-06-17,33,0.23,0.27,0.01,South Korea,China,107624,1995
1865,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,7,2019-01-10,2019-01-10,98,0.23,0.27,0.01,South Korea,China,107624,1995
1866,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2017-01-14,2017-01-14,25,0.23,0.22,0.01,Sweden,China,378616,2002
1867,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,4,2019-12-26,2019-12-26,101,0.39,0.29,0.01,UK,UK,126978,2020
1868,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2022-02-07,2022-02-07,129,0.37,0.31,0.01,Germany,USA,498290,1998
1869,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,2,Missing,2020-04-26,106,0.26,0.35,0.01,UK,Sweden,169318,1991
1870,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,Missing,2018-03-09,116,0.21,0.31,0.01,Mexico,Germany,494250,2010
1871,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2019-12-14,2019-12-14,42,0.36,0.34,0.01,Sweden,China,378616,2002
1872,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,4,2015-11-11,2015-11-11,27,0.26,0.31,0.01,Mexico,Mexico,206080,1999
1873,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,7,2020-07-22,2020-07-22,93,0.37,0.32,0.01,South Korea,Sweden,72981,2019
1874,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2021-11-15,2021-11-15,41,0.26,0.31,0.01,Mexico,Mexico,206080,1999
1875,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2022-12-08,2022-12-08,146,0.25,0.3,0.01,Mexico,Mexico,170850,1993
1876,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,7,2015-08-03,2015-08-03,74,0.39,0.29,0.01,UK,UK,126978,2020
1877,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,7,2021-02-07,2021-02-07,163,0.35,0.27,0.01,Mexico,Germany,494250,2010
1878,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2017-01-29,2017-01-29,34,0.21,0.25,0.01,UK,Sweden,169318,1991
1879,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,4,2022-08-23,2022-08-23,55,0.34,0.26,0.01,Mexico,Mexico,206080,1999
1880,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,7,2018-10-31,2018-10-31,127,0.23,0.27,0.01,South Korea,China,107624,1995
1881,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2019-12-02,2019-12-02,116,0.31,0.26,0.01,Sweden,China,342446,1997
1882,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2019-02-15,2019-02-15,37,0.37,0.31,0.01,Germany,USA,498290,1998
1883,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,7,2020-07-31,2020-07-31,111,0.21,0.25,0.01,UK,Sweden,169318,1991
1884,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2018-08-10,2018-08-10,122,0.36,0.22,0.01,Sweden,Sweden,447546,2017
1885,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2022-05-22,2022-05-22,58,0.21,0.25,0.01,UK,Sweden,169318,1991
1886,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2015-05-30,2015-05-30,93,0.36,0.22,0.01,Sweden,Sweden,447546,2017
1887,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,Missing,2023-02-04,121,0.39,0.29,0.01,UK,UK,126978,2020
1888,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,Missing,2019-12-23,117,0.39,0.22,0.01,Mexico,Mexico,170850,1993
1889,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2021-12-24,2021-12-24,43,0.34,0.26,0.01,Mexico,Mexico,206080,1999
1890,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2015-04-22,2015-04-22,97,0.37,0.32,0.01,South Korea,Sweden,72981,2019
1891,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,4,2017-06-13,2017-06-13,93,0.33,0.26,0.01,Mexico,Japan,150730,2002
1892,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2021-10-04,2021-10-04,103,0.35,0.27,0.01,Mexico,Germany,494250,2010
1893,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2019-09-11,2019-09-11,127,0.35,0.31,0.01,Mexico,Germany,494250,2010
1894,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,7,2022-09-11,2022-09-11,46,0.36,0.23,0.01,Sweden,Sweden,447546,2017
1895,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2017-04-03,2017-04-03,40,0.21,0.31,0.01,Mexico,Germany,494250,2010
1896,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2023-07-30,2023-07-30,101,0.24,0.29,0.01,Sweden,China,342446,1997
1897,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2015-09-20,2015-09-20,16,0.21,0.31,0.01,Mexico,Germany,494250,2010
1898,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2018-07-31,2018-07-31,133,0.21,0.25,0.01,UK,Sweden,169318,1991
1899,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2017-01-23,Missing,24,0.31,0.26,0.01,Sweden,China,342446,1997
1900,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,7,2017-03-11,2017-03-11,39,0.35,0.27,0.01,Mexico,Germany,494250,2010
1901,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2018-02-02,2018-02-02,38,0.36,0.34,0.01,Sweden,China,378616,2002
1902,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2020-06-11,2020-06-11,99,0.26,0.35,0.01,UK,Sweden,169318,1991
1903,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2017-10-13,2017-10-13,135,0.37,0.32,0.01,South Korea,Sweden,72981,2019
1904,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2016-04-15,2016-04-15,22,0.21,0.25,0.01,UK,Sweden,169318,1991
1905,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,4,2023-04-19,2023-04-19,96,0.34,0.26,0.01,Mexico,Mexico,206080,1999
1906,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2016-05-15,2016-05-15,75,0.36,0.23,0.01,Sweden,Sweden,447546,2017
1907,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2021-03-24,Missing,125,0.33,0.26,0.01,Mexico,Japan,150730,2002
1908,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2020-06-10,2020-06-10,80,0.31,0.26,0.01,Sweden,China,342446,1997
1909,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2015-05-14,2015-05-14,94,0.29,0.29,0.01,South Korea,China,107624,1995
1910,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2015-03-11,2015-03-11,64,0.36,0.22,0.01,Sweden,Sweden,447546,2017
1911,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,4,2017-05-09,Missing,79,0.21,0.25,0.01,UK,Sweden,169318,1991
1912,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2016-08-11,2016-08-11,78,0.26,0.29,0.01,UK,UK,291315,2014
1913,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2020-02-06,2020-02-06,115,0.26,0.29,0.01,UK,UK,291315,2014
1914,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2017-03-16,2017-03-16,104,0.4,0.22,0.01,UK,UK,291315,2014
1915,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,4,2020-01-29,2020-01-29,27,0.39,0.22,0.01,Mexico,Mexico,170850,1993
1916,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2017-09-23,2017-09-23,36,0.31,0.26,0.01,Sweden,China,342446,1997
1917,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2023-05-14,2023-05-14,109,0.37,0.31,0.01,Germany,USA,498290,1998
1918,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,7,2019-10-16,2019-10-16,145,0.37,0.32,0.01,South Korea,Sweden,72981,2019
1919,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2018-01-27,2018-01-27,77,0.26,0.31,0.01,Mexico,Mexico,206080,1999
1920,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2018-04-20,2018-04-20,175,0.39,0.29,0.01,UK,UK,126978,2020
1921,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2023-02-10,2023-02-10,33,0.4,0.22,0.01,UK,UK,291315,2014
1922,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,4,2022-04-10,2022-04-10,43,0.37,0.32,0.01,South Korea,Sweden,72981,2019
1923,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,4,2017-10-21,2017-10-21,78,0.37,0.32,0.01,South Korea,Sweden,72981,2019
1924,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,2,2020-02-19,2020-02-19,95,0.35,0.31,0.01,Mexico,Germany,494250,2010
1925,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,4,2019-12-04,2019-12-04,78,0.37,0.24,0.01,Japan,Sweden,300990,2015
1926,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2017-12-06,2017-12-06,109,0.37,0.24,0.01,Japan,Sweden,300990,2015
1927,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2020-07-26,2020-07-26,51,0.4,0.22,0.01,UK,UK,291315,2014
1928,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2017-12-02,2017-12-02,125,0.23,0.22,0.01,Sweden,China,378616,2002
1929,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2016-10-03,2016-10-03,91,0.23,0.27,0.01,South Korea,China,107624,1995
1930,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2022-10-24,2022-10-24,95,0.34,0.26,0.01,Mexico,Mexico,206080,1999
1931,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2017-01-23,2017-01-23,82,0.26,0.29,0.01,UK,UK,291315,2014
1932,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2021-05-24,2021-05-24,195,0.4,0.22,0.01,UK,UK,291315,2014
1933,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2018-09-10,2018-09-10,78,0.26,0.31,0.01,Mexico,Mexico,206080,1999
1934,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,2,2021-01-24,2021-01-24,93,0.26,0.31,0.01,Mexico,Mexico,206080,1999
1935,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2015-10-24,2015-10-24,74,0.37,0.32,0.01,South Korea,Sweden,72981,2019
1936,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,7,2019-07-02,2019-07-02,129,0.26,0.35,0.01,UK,Sweden,169318,1991
1937,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2019-07-24,2019-07-24,129,0.36,0.34,0.01,Sweden,China,378616,2002
1938,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2019-04-28,2019-04-28,158,0.23,0.22,0.01,Sweden,China,378616,2002
1939,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2022-09-19,2022-09-19,123,0.23,0.22,0.01,Sweden,China,378616,2002
1940,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2019-06-02,2019-06-02,45,0.24,0.29,0.01,Sweden,China,342446,1997
1941,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,4,2019-10-01,2019-10-01,88,0.21,0.31,0.01,Mexico,Germany,494250,2010
1942,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,4,2023-04-29,2023-04-29,145,0.35,0.25,0.01,Japan,Sweden,300990,2015
1943,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,7,2018-09-23,2018-09-23,83,0.37,0.32,0.01,South Korea,Sweden,72981,2019
1944,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2019-06-21,2019-06-21,28,0.36,0.23,0.01,Sweden,Sweden,447546,2017
1945,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2021-11-08,2021-11-08,98,0.39,0.22,0.01,Mexico,Mexico,170850,1993
1946,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2016-08-29,2016-08-29,91,0.33,0.26,0.01,Mexico,Japan,150730,2002
1947,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2023-06-27,2023-06-27,134,0.34,0.26,0.01,Mexico,Mexico,206080,1999
1948,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2016-01-11,2016-01-11,24,0.23,0.22,0.01,Sweden,China,378616,2002
1949,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2019-09-30,2019-09-30,118,0.23,0.22,0.01,Sweden,China,378616,2002
1950,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,4,2020-09-22,2020-09-22,129,0.21,0.31,0.01,Mexico,Germany,494250,2010
1951,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2016-07-01,2016-07-01,79,0.29,0.29,0.01,South Korea,China,107624,1995
1952,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2023-03-11,2023-03-11,122,0.37,0.24,0.01,Japan,Sweden,300990,2015
1953,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2020-05-28,2020-05-28,122,0.35,0.27,0.01,Mexico,Germany,494250,2010
1954,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,4,2018-04-05,2018-04-05,101,0.21,0.25,0.01,UK,Sweden,169318,1991
1955,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,4,2023-03-18,2023-03-18,89,0.23,0.27,0.01,South Korea,China,107624,1995
1956,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2019-01-15,2019-01-15,109,0.26,0.29,0.01,UK,UK,291315,2014
1957,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2015-07-05,2015-07-05,55,0.23,0.22,0.01,Sweden,China,378616,2002
1958,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2021-01-23,2021-01-23,30,0.4,0.22,0.01,UK,UK,291315,2014
1959,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2018-06-10,2018-06-10,43,0.26,0.29,0.01,UK,UK,291315,2014
1960,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,4,2018-05-17,2018-05-17,35,0.37,0.24,0.01,Japan,Sweden,300990,2015
1961,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,4,2017-01-24,2017-01-24,85,0.24,0.29,0.01,Sweden,China,342446,1997
1962,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2018-03-13,2018-03-13,85,0.25,0.3,0.01,Mexico,Mexico,170850,1993
1963,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2020-11-13,2020-11-13,44,0.25,0.3,0.01,Mexico,Mexico,170850,1993
1964,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2017-11-10,2017-11-10,36,0.4,0.22,0.01,UK,UK,291315,2014
1965,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,7,2015-03-18,2015-03-18,66,0.23,0.27,0.01,South Korea,China,107624,1995
1966,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,2,2015-12-23,2015-12-23,71,0.39,0.29,0.01,UK,UK,126978,2020
1967,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2021-01-01,2021-01-01,109,0.35,0.27,0.01,Mexico,Germany,494250,2010
1968,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,2,2018-02-13,2018-02-13,22,0.26,0.35,0.01,UK,Sweden,169318,1991
1969,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2018-07-25,2018-07-25,32,0.24,0.29,0.01,Sweden,China,342446,1997
1970,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2022-02-09,2022-02-09,89,0.35,0.25,0.01,Japan,Sweden,300990,2015
1971,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2017-07-04,2017-07-04,116,0.34,0.26,0.01,Mexico,Mexico,206080,1999
1972,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2018-11-05,2018-11-05,149,0.34,0.26,0.01,Mexico,Mexico,206080,1999
1973,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2018-02-22,2018-02-22,128,0.35,0.25,0.01,Japan,Sweden,300990,2015
1974,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2023-02-12,2023-02-12,162,0.26,0.31,0.01,Mexico,Mexico,206080,1999
1975,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2017-06-25,2017-06-25,114,0.35,0.25,0.01,Japan,Sweden,300990,2015
1976,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2021-04-01,2021-04-01,148,0.37,0.24,0.01,Japan,Sweden,300990,2015
1977,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2019-04-03,2019-04-03,128,0.35,0.31,0.01,Mexico,Germany,494250,2010
1978,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2021-12-06,2021-12-06,161,0.23,0.22,0.01,Sweden,China,378616,2002
1979,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2021-01-24,2021-01-24,19,0.36,0.23,0.01,Sweden,Sweden,447546,2017
1980,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2023-11-24,2023-11-24,157,0.29,0.29,0.01,South Korea,China,107624,1995
1981,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2016-11-29,2016-11-29,81,0.4,0.22,0.01,UK,UK,291315,2014
1982,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2019-05-24,2019-05-24,95,0.23,0.22,0.01,Sweden,China,378616,2002
1983,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2015-06-28,2015-06-28,66,0.29,0.29,0.01,South Korea,China,107624,1995
1984,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,4,2018-06-06,2018-06-06,79,0.34,0.26,0.01,Mexico,Mexico,206080,1999
1985,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,Missing,2015-08-16,89,0.4,0.22,0.01,UK,UK,291315,2014
1986,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2016-09-24,2016-09-24,25,0.36,0.23,0.01,Sweden,Sweden,447546,2017
1987,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2020-07-22,2020-07-22,196,0.26,0.35,0.01,UK,Sweden,169318,1991
1988,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2018-09-12,2018-09-12,115,0.39,0.29,0.01,UK,UK,126978,2020
1989,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2021-03-20,2021-03-20,32,0.23,0.22,0.01,Sweden,China,378616,2002
1990,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,4,2015-04-07,2015-04-07,73,0.36,0.23,0.01,Sweden,Sweden,447546,2017
1991,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2019-10-23,2019-10-23,165,0.37,0.32,0.01,South Korea,Sweden,72981,2019
1992,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2023-05-24,2023-05-24,47,0.24,0.29,0.01,Sweden,China,342446,1997
1993,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,7,2022-03-19,2022-03-19,140,0.24,0.29,0.01,Sweden,China,342446,1997
1994,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,4,2015-11-28,2015-11-28,71,0.25,0.3,0.01,Mexico,Mexico,170850,1993
1995,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,4,2016-11-25,2016-11-25,16,0.36,0.23,0.01,Sweden,Sweden,447546,2017
1996,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2016-10-28,2016-10-28,78,0.24,0.29,0.01,Sweden,China,342446,1997
1997,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2021-04-05,2021-04-05,98,0.24,0.29,0.01,Sweden,China,342446,1997
1998,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,4,2017-02-19,2017-02-19,96,0.39,0.29,0.01,UK,UK,126978,2020
1999,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,4,2023-02-11,2023-02-11,91,0.35,0.25,0.01,Japan,Sweden,300990,2015
2000,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2015-07-15,2015-07-15,69,0.34,0.26,0.01,Mexico,Mexico,206080,1999
2001,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2015-09-30,2015-09-30,15,0.35,0.31,0.01,Mexico,Germany,494250,2010
2002,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,4,2016-11-10,2016-11-10,16,0.39,0.22,0.01,Mexico,Mexico,170850,1993
2003,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2016-01-14,2016-01-14,59,0.39,0.29,0.01,UK,UK,126978,2020
2004,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2023-05-16,2023-05-16,68,0.35,0.31,0.01,Mexico,Germany,494250,2010
2005,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2021-09-11,2021-09-11,137,0.4,0.22,0.01,UK,UK,291315,2014
2006,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2017-06-28,2017-06-28,38,0.25,0.3,0.01,Mexico,Mexico,170850,1993
2007,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2016-04-21,2016-04-21,84,0.23,0.22,0.01,Sweden,China,378616,2002
2008,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2015-12-13,2015-12-13,65,0.37,0.24,0.01,Japan,Sweden,300990,2015
2009,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,7,2022-12-13,2022-12-13,158,0.36,0.34,0.01,Sweden,China,378616,2002
2010,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2023-05-02,2023-05-02,53,0.4,0.22,0.01,UK,UK,291315,2014
2011,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,4,2017-01-15,2017-01-15,80,0.35,0.27,0.01,Mexico,Germany,494250,2010
2012,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2023-06-02,2023-06-02,116,0.35,0.31,0.01,Mexico,Germany,494250,2010
2013,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2020-08-14,2020-08-14,102,0.34,0.26,0.01,Mexico,Mexico,206080,1999
2014,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2016-04-05,2016-04-05,72,0.35,0.27,0.01,Mexico,Germany,494250,2010
2015,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,4,2021-10-21,2021-10-21,136,0.35,0.31,0.01,Mexico,Germany,494250,2010
2016,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2018-03-02,2018-03-02,18,0.37,0.31,0.01,Germany,USA,498290,1998
2017,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2015-12-20,2015-12-20,85,0.39,0.29,0.01,UK,UK,126978,2020
2018,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2021-12-18,2021-12-18,111,0.26,0.31,0.01,Mexico,Mexico,206080,1999
2019,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2020-05-07,2020-05-07,130,0.34,0.26,0.01,Mexico,Mexico,206080,1999
2020,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,4,2020-06-02,2020-06-02,30,0.23,0.27,0.01,South Korea,China,107624,1995
2021,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2015-10-11,2015-10-11,62,0.26,0.29,0.01,UK,UK,291315,2014
2022,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,4,2019-05-13,2019-05-13,129,0.21,0.31,0.01,Mexico,Germany,494250,2010
2023,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2022-03-10,2022-03-10,89,0.39,0.29,0.01,UK,UK,126978,2020
2024,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2020-03-20,2020-03-20,126,0.24,0.29,0.01,Sweden,China,342446,1997
2025,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2016-10-29,2016-10-29,84,0.35,0.27,0.01,Mexico,Germany,494250,2010
2026,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2019-04-30,2019-04-30,143,0.35,0.27,0.01,Mexico,Germany,494250,2010
2027,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2020-11-19,2020-11-19,103,0.34,0.26,0.01,Mexico,Mexico,206080,1999
2028,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2017-02-10,2017-02-10,72,0.21,0.25,0.01,UK,Sweden,169318,1991
