,Brand,Model,Range,Price,Battery_Capacity,Charging_Speed,Acceleration,Top_Speed,Seating_Capacity,Launch_Date,Date,Sales,Efficiency,Drag_Coefficient,Tire_Rolling_Resistance
1425,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,4,2020-12-06,2020-12-06,194,0.36,0.23,0.01
1426,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,Missing,2022-01-22,52,0.35,0.31,0.01
1427,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,7,2023-01-21,2023-01-21,100,0.35,0.27,0.01
1428,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,4,Missing,2020-03-27,97,0.37,0.24,0.01
1429,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2020-09-02,2020-09-02,120,0.35,0.31,0.01
1430,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2018-10-18,2018-10-18,102,0.26,0.29,0.01
1431,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,4,2019-06-19,2019-06-19,142,0.26,0.31,0.01
1432,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,7,2023-08-05,2023-08-05,130,0.39,0.22,0.01
1433,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2015-07-12,2015-07-12,86,0.36,0.34,0.01
1434,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2015-07-17,2015-07-17,74,0.35,0.27,0.01
1435,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2018-08-14,2018-08-14,81,0.36,0.23,0.01
1436,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2021-10-14,2021-10-14,94,0.23,0.22,0.01
1437,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2020-10-09,2020-10-09,41,0.26,0.29,0.01
1438,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2020-05-06,2020-05-06,118,0.26,0.35,0.01
1439,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2019-09-16,2019-09-16,87,0.33,0.26,0.01
1440,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2019-10-16,2019-10-16,82,0.35,0.27,0.01
1441,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2022-03-21,2022-03-21,89,0.4,0.22,0.01
1442,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2022-06-30,2022-06-30,110,0.39,0.29,0.01
1443,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2017-01-03,2017-01-03,105,0.35,0.27,0.01
1444,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2023-11-15,2023-11-15,254,0.39,0.22,0.01
1445,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,Missing,2018-10-24,85,0.36,0.34,0.01
1446,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2022-05-03,2022-05-03,150,0.31,0.26,0.01
1447,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,7,2020-07-14,2020-07-14,116,0.39,0.22,0.01
1448,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,4,2017-03-21,2017-03-21,85,0.37,0.32,0.01
1449,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2020-03-29,2020-03-29,90,0.37,0.24,0.01
1450,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2015-06-08,2015-06-08,90,0.35,0.31,0.01
1451,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2020-03-29,2020-03-29,36,0.35,0.25,0.01
1452,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,4,2021-12-13,2021-12-13,103,0.34,0.26,0.01
1453,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,4,2019-04-11,2019-04-11,111,0.26,0.31,0.01
1454,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2016-04-26,2016-04-26,81,0.29,0.29,0.01
1455,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,7,2022-07-11,2022-07-11,114,0.24,0.29,0.01
1456,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2021-10-16,2021-10-16,168,0.25,0.3,0.01
1457,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2019-10-10,2019-10-10,28,0.36,0.23,0.01
1458,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2023-08-19,2023-08-19,210,0.37,0.31,0.01
1459,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2015-12-12,2015-12-12,64,0.39,0.29,0.01
1460,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2015-04-20,2015-04-20,54,0.24,0.29,0.01
1461,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2019-12-03,2019-12-03,117,0.37,0.32,0.01
1462,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2015-08-18,2015-08-18,53,0.29,0.29,0.01
1463,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,2,2015-05-27,2015-05-27,28,0.26,0.31,0.01
1464,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,7,Missing,2020-04-23,123,0.21,0.25,0.01
1465,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,7,2015-03-14,2015-03-14,17,0.34,0.26,0.01
1466,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2022-07-16,2022-07-16,142,0.35,0.31,0.01
1467,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2021-03-26,2021-03-26,189,0.21,0.25,0.01
1468,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2021-09-27,2021-09-27,114,0.21,0.31,0.01
1469,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2015-06-10,2015-06-10,53,0.4,0.22,0.01
1470,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2023-10-31,2023-10-31,42,0.36,0.22,0.01
1471,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2022-03-06,2022-03-06,20,0.39,0.22,0.01
1472,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2018-02-18,2018-02-18,100,0.25,0.3,0.01
1473,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,7,2015-05-23,2015-05-23,75,0.29,0.29,0.01
1474,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2019-06-22,2019-06-22,113,0.31,0.26,0.01
1475,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,7,2017-08-30,2017-08-30,91,0.21,0.25,0.01
1476,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2019-05-13,2019-05-13,84,0.23,0.22,0.01
1477,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2021-03-14,2021-03-14,162,0.39,0.22,0.01
1478,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2017-08-08,2017-08-08,89,0.21,0.31,0.01
1479,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2016-12-20,Missing,34,0.36,0.34,0.01
1480,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,7,2022-09-07,2022-09-07,133,0.39,0.22,0.01
1481,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,4,2023-03-02,2023-03-02,187,0.36,0.23,0.01
1482,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,7,2018-06-15,2018-06-15,107,0.26,0.29,0.01
1483,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2019-04-27,2019-04-27,20,0.31,0.26,0.01
1484,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2020-08-12,2020-08-12,133,0.35,0.27,0.01
1485,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2016-08-09,2016-08-09,29,0.36,0.23,0.01
1486,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2016-02-19,2016-02-19,77,0.21,0.25,0.01
1487,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,7,2022-05-18,2022-05-18,241,0.39,0.29,0.01
1488,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,4,2016-10-23,2016-10-23,69,0.21,0.31,0.01
1489,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2021-10-27,2021-10-27,139,0.36,0.22,0.01
1490,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2023-03-16,2023-03-16,45,0.35,0.27,0.01
1491,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2019-05-26,2019-05-26,106,0.31,0.26,0.01
1492,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,4,2016-02-17,2016-02-17,94,0.26,0.35,0.01
1493,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2023-04-10,2023-04-10,129,0.37,0.31,0.01
1494,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,4,Missing,2019-07-13,114,0.37,0.31,0.01
1495,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2016-02-07,2016-02-07,103,0.36,0.34,0.01
1496,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2019-02-26,2019-02-26,94,0.23,0.22,0.01
1497,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2016-10-23,2016-10-23,61,0.34,0.26,0.01
1498,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,7,2016-02-15,2016-02-15,70,0.33,0.26,0.01
1499,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2020-01-10,2020-01-10,26,0.37,0.32,0.01
1500,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2023-05-23,2023-05-23,98,0.26,0.35,0.01
1501,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2018-12-11,2018-12-11,109,0.35,0.27,0.01
1502,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,7,2017-11-03,2017-11-03,29,0.37,0.32,0.01
1503,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,4,2019-12-15,2019-12-15,31,0.36,0.23,0.01
1504,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,7,2016-04-10,2016-04-10,62,0.21,0.25,0.01
1505,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2016-03-09,2016-03-09,55,0.39,0.22,0.01
1506,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,4,2023-04-05,2023-04-05,157,0.37,0.24,0.01
1507,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2018-06-12,2018-06-12,122,0.35,0.25,0.01
1508,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2020-11-24,2020-11-24,186,0.31,0.26,0.01
1509,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2019-10-01,2019-10-01,34,0.35,0.25,0.01
1510,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2017-09-19,2017-09-19,102,0.29,0.29,0.01
1511,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2016-11-12,2016-11-12,58,0.4,0.22,0.01
1512,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2022-10-19,2022-10-19,113,0.26,0.29,0.01
1513,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,4,2019-12-08,2019-12-08,127,0.37,0.24,0.01
1514,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2022-09-10,2022-09-10,108,0.37,0.32,0.01
1515,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,7,2015-11-17,2015-11-17,105,0.31,0.26,0.01
1516,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,7,2021-11-11,2021-11-11,130,0.31,0.26,0.01
1517,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2015-06-11,2015-06-11,84,0.37,0.32,0.01
1518,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2018-03-05,2018-03-05,32,0.4,0.22,0.01
1519,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2015-11-16,2015-11-16,76,0.21,0.31,0.01
1520,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2015-04-03,2015-04-03,31,0.23,0.27,0.01
1521,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,2,2018-11-02,2018-11-02,108,0.25,0.3,0.01
1522,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2018-05-08,2018-05-08,165,0.37,0.31,0.01
1523,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2017-11-24,2017-11-24,32,0.21,0.25,0.01
1524,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2018-10-27,2018-10-27,88,0.25,0.3,0.01
1525,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2019-05-01,2019-05-01,77,0.34,0.26,0.01
1526,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,4,2023-10-24,2023-10-24,126,0.39,0.22,0.01
1527,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2020-01-06,2020-01-06,43,0.34,0.26,0.01
1528,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,2,2023-09-30,2023-09-30,150,0.21,0.31,0.01
1529,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2017-12-01,2017-12-01,118,0.23,0.27,0.01
1530,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2016-05-26,2016-05-26,29,0.26,0.29,0.01
1531,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2016-07-09,2016-07-09,122,0.34,0.26,0.01
1532,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2018-12-24,2018-12-24,40,0.29,0.29,0.01
1533,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2017-05-01,2017-05-01,104,0.26,0.35,0.01
1534,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2015-06-18,2015-06-18,18,0.39,0.29,0.01
1535,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2016-10-16,2016-10-16,15,0.23,0.22,0.01
1536,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2021-09-14,2021-09-14,171,0.4,0.22,0.01
1537,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,7,Missing,2015-11-04,69,0.26,0.31,0.01
1538,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,7,2020-02-03,2020-02-03,27,0.23,0.27,0.01
1539,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2016-01-26,2016-01-26,59,0.39,0.29,0.01
1540,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2020-04-22,2020-04-22,86,0.36,0.22,0.01
1541,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,4,2023-11-28,2023-11-28,56,0.25,0.3,0.01
1542,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2016-08-10,2016-08-10,131,0.21,0.31,0.01
1543,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,7,2020-02-13,2020-02-13,48,0.4,0.22,0.01
1544,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2021-08-26,2021-08-26,37,0.34,0.26,0.01
1545,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2015-01-05,2015-01-05,65,0.35,0.27,0.01
1546,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2015-07-21,2015-07-21,91,0.25,0.3,0.01
1547,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2018-06-22,2018-06-22,103,0.25,0.3,0.01
1548,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2019-05-26,2019-05-26,142,0.26,0.31,0.01
1549,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2017-03-02,2017-03-02,91,0.25,0.3,0.01
1550,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2022-09-06,2022-09-06,19,0.37,0.24,0.01
1551,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2016-05-27,2016-05-27,94,0.36,0.22,0.01
1552,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2022-01-26,2022-01-26,103,0.39,0.22,0.01
1553,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2021-08-14,2021-08-14,130,0.35,0.25,0.01
1554,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2015-05-20,2015-05-20,87,0.35,0.25,0.01
1555,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2016-08-02,Missing,70,0.35,0.31,0.01
1556,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2017-09-28,2017-09-28,134,0.26,0.35,0.01
1557,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,4,2022-12-29,2022-12-29,110,0.26,0.35,0.01
1558,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,Missing,2018-07-07,97,0.26,0.31,0.01
1559,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2015-02-24,2015-02-24,72,0.26,0.31,0.01
1560,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2022-09-10,2022-09-10,137,0.37,0.32,0.01
1561,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,2,2015-07-04,2015-07-04,33,0.34,0.26,0.01
1562,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2022-07-11,2022-07-11,220,0.26,0.29,0.01
1563,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2016-10-07,2016-10-07,89,0.31,0.26,0.01
1564,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2021-06-05,2021-06-05,49,0.35,0.31,0.01
1565,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2023-03-24,2023-03-24,39,0.26,0.35,0.01
1566,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,4,2016-07-30,Missing,23,0.24,0.29,0.01
1567,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2018-05-15,2018-05-15,15,0.36,0.23,0.01
1568,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2023-08-10,2023-08-10,185,0.39,0.22,0.01
1569,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2016-08-11,2016-08-11,78,0.36,0.23,0.01
1570,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2015-01-23,2015-01-23,13,0.35,0.27,0.01
1571,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2023-09-18,2023-09-18,136,0.39,0.29,0.01
1572,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2017-07-09,2017-07-09,110,0.37,0.24,0.01
1573,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2017-12-17,2017-12-17,65,0.26,0.29,0.01
1574,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,7,2015-06-27,2015-06-27,90,0.36,0.34,0.01
1575,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,4,2022-08-12,2022-08-12,37,0.35,0.25,0.01
1576,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,4,2022-11-30,2022-11-30,35,0.26,0.31,0.01
1577,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,4,2016-11-20,2016-11-20,82,0.39,0.22,0.01
1578,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2023-12-17,2023-12-17,134,0.36,0.22,0.01
1579,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2021-06-15,2021-06-15,38,0.21,0.25,0.01
1580,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2023-05-17,2023-05-17,63,0.37,0.32,0.01
1581,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2016-11-20,2016-11-20,110,0.26,0.35,0.01
1582,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2020-05-26,2020-05-26,161,0.26,0.31,0.01
1583,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2021-09-30,Missing,136,0.37,0.31,0.01
1584,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,7,2016-01-10,2016-01-10,27,0.26,0.35,0.01
1585,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2016-10-20,2016-10-20,15,0.36,0.34,0.01
1586,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2023-11-23,2023-11-23,142,0.36,0.22,0.01
1587,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2015-02-21,2015-02-21,19,0.4,0.22,0.01
1588,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2016-03-20,2016-03-20,112,0.21,0.31,0.01
1589,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2017-05-18,2017-05-18,90,0.36,0.34,0.01
1590,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2018-01-16,2018-01-16,39,0.26,0.35,0.01
1591,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2020-04-24,2020-04-24,134,0.33,0.26,0.01
1592,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,4,2018-05-31,2018-05-31,106,0.29,0.29,0.01
1593,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,7,2016-04-25,2016-04-25,81,0.36,0.23,0.01
1594,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2021-10-19,2021-10-19,24,0.25,0.3,0.01
1595,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,4,2019-11-14,Missing,23,0.25,0.3,0.01
1596,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2018-12-17,2018-12-17,164,0.23,0.22,0.01
1597,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,4,Missing,2021-03-08,95,0.29,0.29,0.01
1598,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2015-06-06,2015-06-06,58,0.26,0.35,0.01
1599,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2023-02-01,2023-02-01,119,0.25,0.3,0.01
1600,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2021-09-14,2021-09-14,92,0.36,0.34,0.01
1601,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2018-12-11,2018-12-11,90,0.26,0.31,0.01
1602,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2017-12-02,2017-12-02,79,0.24,0.29,0.01
1603,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2021-11-20,2021-11-20,118,0.21,0.31,0.01
1604,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2021-09-02,2021-09-02,90,0.39,0.22,0.01
1605,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2019-06-27,2019-06-27,86,0.31,0.26,0.01
1606,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2021-06-07,2021-06-07,121,0.39,0.29,0.01
1607,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2021-08-28,2021-08-28,52,0.35,0.27,0.01
1608,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2018-11-09,2018-11-09,35,0.21,0.25,0.01
1609,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2017-01-09,2017-01-09,74,0.31,0.26,0.01
1610,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2018-04-02,2018-04-02,93,0.37,0.24,0.01
1611,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2015-11-14,2015-11-14,83,0.26,0.29,0.01
1612,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2023-09-22,2023-09-22,116,0.36,0.22,0.01
1613,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,4,2015-10-04,2015-10-04,64,0.21,0.25,0.01
1614,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2017-07-05,2017-07-05,25,0.36,0.22,0.01
1615,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2016-06-10,Missing,104,0.39,0.22,0.01
1616,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2017-12-09,2017-12-09,24,0.26,0.31,0.01
1617,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2022-02-25,2022-02-25,164,0.37,0.24,0.01
1618,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,7,2023-09-30,2023-09-30,53,0.31,0.26,0.01
1619,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2021-02-23,2021-02-23,198,0.24,0.29,0.01
1620,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2021-01-01,2021-01-01,37,0.39,0.29,0.01
1621,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2022-11-23,2022-11-23,135,0.36,0.22,0.01
1622,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,4,2018-11-01,2018-11-01,19,0.31,0.26,0.01
1623,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2022-10-28,2022-10-28,41,0.36,0.22,0.01
1624,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2019-02-26,2019-02-26,22,0.33,0.26,0.01
1625,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,7,2015-02-27,2015-02-27,26,0.34,0.26,0.01
1626,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2021-02-17,2021-02-17,103,0.39,0.22,0.01
1627,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2016-11-16,2016-11-16,100,0.23,0.22,0.01
