,Brand,Model,Range,Price,Battery_Capacity,Charging_Speed,Acceleration,Top_Speed,Seating_Capacity,Launch_Date,Date,Sales
3031,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,7,2018-12-04,2018-12-04,167
3032,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2019-01-10,2019-01-10,92
3033,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2015-08-18,2015-08-18,79
3034,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,4,2015-05-06,2015-05-06,89
3035,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2023-08-10,2023-08-10,123
3036,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2017-04-03,2017-04-03,64
3037,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2017-01-01,2017-01-01,103
3038,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,Missing,2023-03-06,144
3039,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2023-04-16,2023-04-16,111
3040,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2018-10-26,2018-10-26,93
3041,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2019-03-08,2019-03-08,106
3042,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2015-11-03,Missing,90
3043,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2015-06-03,2015-06-03,12
3044,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2023-11-06,2023-11-06,115
3045,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,7,2016-01-06,2016-01-06,82
3046,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,4,2017-05-11,2017-05-11,36
3047,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2015-05-30,2015-05-30,65
3048,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2016-07-16,2016-07-16,17
3049,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2015-04-27,2015-04-27,65
3050,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2022-08-03,2022-08-03,117
3051,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2019-03-30,2019-03-30,115
3052,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2016-04-04,2016-04-04,23
3053,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2015-01-01,2015-01-01,45
3054,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,Missing,2017-05-24,90
3055,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2018-04-09,2018-04-09,95
3056,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2015-01-23,2015-01-23,93
3057,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,2,2015-05-30,2015-05-30,13
3058,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2023-11-23,2023-11-23,161
3060,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2020-12-10,2020-12-10,83
3061,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2019-01-08,2019-01-08,42
3063,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2017-05-06,Missing,65
3064,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2021-05-24,2021-05-24,90
3065,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2023-02-14,2023-02-14,187
3066,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,4,2016-12-23,2016-12-23,33
3068,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2016-03-05,2016-03-05,31
3069,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2023-10-22,2023-10-22,58
3070,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,7,2018-10-24,2018-10-24,78
3071,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,4,2017-03-30,2017-03-30,93
3072,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2017-03-20,2017-03-20,60
3073,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2023-09-21,2023-09-21,40
3074,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,4,Missing,2019-09-14,171
3075,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2023-07-31,2023-07-31,110
3076,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2015-01-24,2015-01-24,86
3077,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2017-12-16,2017-12-16,87
3078,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2016-01-25,2016-01-25,28
3079,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2023-08-21,2023-08-21,133
3080,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,Missing,2022-04-28,207
3081,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2022-04-28,Missing,88
3082,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,4,Missing,2015-03-17,72
3083,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2015-06-09,2015-06-09,37
3084,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,4,Missing,2016-10-26,90
3085,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2015-03-05,2015-03-05,70
3086,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,4,2017-01-05,2017-01-05,28
3088,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2023-11-13,2023-11-13,150
3089,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2015-05-10,2015-05-10,15
3090,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,4,2018-12-01,2018-12-01,77
3091,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2022-07-21,2022-07-21,108
3092,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2023-08-22,2023-08-22,105
3093,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,7,2016-11-30,2016-11-30,90
3094,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2015-01-17,2015-01-17,80
3095,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2019-06-10,2019-06-10,93
3096,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2015-09-08,2015-09-08,72
3097,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2021-12-22,2021-12-22,246
3098,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2016-09-07,2016-09-07,89
3099,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2017-05-04,2017-05-04,82
3100,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2019-01-25,2019-01-25,69
3101,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,7,2021-07-05,2021-07-05,48
3102,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2019-01-12,2019-01-12,89
3103,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,4,2018-09-01,2018-09-01,109
3104,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2020-03-16,2020-03-16,108
3105,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,4,2017-10-13,2017-10-13,89
3106,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2015-10-23,2015-10-23,30
3107,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2018-05-14,2018-05-14,135
3108,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,4,2015-11-01,2015-11-01,55
3109,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,4,2017-04-03,2017-04-03,64
3110,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2018-05-18,2018-05-18,84
3111,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2015-06-12,2015-06-12,28
3112,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2018-11-18,2018-11-18,112
3113,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,7,2017-03-21,2017-03-21,36
3114,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,2,2015-01-20,2015-01-20,56
3115,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2016-12-20,2016-12-20,34
3116,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2018-11-25,2018-11-25,122
3117,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2023-05-22,2023-05-22,39
3118,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2019-04-24,Missing,125
3119,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,Missing,2020-09-28,43
3120,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2018-01-20,2018-01-20,96
3121,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2019-09-30,2019-09-30,87
3122,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2020-06-19,2020-06-19,83
3123,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2021-02-26,2021-02-26,121
3125,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,4,2016-02-21,2016-02-21,86
3126,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,7,2022-10-21,2022-10-21,186
3127,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2019-08-13,2019-08-13,151
3128,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2023-02-14,2023-02-14,151
3129,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2023-07-15,2023-07-15,92
3130,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2018-01-17,2018-01-17,36
3131,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2015-08-16,2015-08-16,81
3132,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2017-06-05,2017-06-05,23
3133,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2019-12-04,2019-12-04,138
3134,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2020-08-24,2020-08-24,35
3135,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2015-12-15,2015-12-15,81
3136,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2017-08-25,2017-08-25,32
3137,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2023-11-11,2023-11-11,120
3138,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,7,2021-11-10,2021-11-10,16
3139,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2022-03-18,2022-03-18,108
3140,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2021-06-21,2021-06-21,164
3141,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2020-05-23,Missing,124
3142,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,4,Missing,2022-04-22,100
3143,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2015-09-26,2015-09-26,73
3144,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2021-01-03,2021-01-03,120
3145,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2021-12-18,2021-12-18,38
3146,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2021-06-10,2021-06-10,124
3147,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2023-07-24,2023-07-24,135
3148,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,7,2019-01-28,2019-01-28,73
3149,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2018-04-22,2018-04-22,145
3150,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,Missing,Missing,131
3151,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2018-10-15,Missing,95
3152,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,4,2020-01-29,2020-01-29,98
3153,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2021-02-10,Missing,39
3154,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,7,2023-02-24,2023-02-24,33
3155,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2016-07-21,2016-07-21,62
3156,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2019-07-03,2019-07-03,109
3157,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2021-05-10,2021-05-10,155
3158,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,Missing,Missing,79
3159,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2018-03-01,2018-03-01,87
3160,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2015-05-23,2015-05-23,73
3161,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2017-02-08,2017-02-08,19
3162,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,4,2019-10-06,Missing,29
3163,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2021-01-17,2021-01-17,40
3164,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2018-12-24,2018-12-24,84
3165,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2018-12-28,2018-12-28,97
3166,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2018-03-17,2018-03-17,98
3167,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,2,2021-11-02,2021-11-02,99
3168,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,2,2023-05-05,2023-05-05,22
3169,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2018-09-06,2018-09-06,98
3170,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2022-09-13,2022-09-13,142
3171,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2017-05-01,2017-05-01,90
3172,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2017-10-12,2017-10-12,17
3173,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2016-06-19,2016-06-19,101
3174,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2020-12-29,2020-12-29,104
3175,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,4,2020-05-14,2020-05-14,40
3176,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2023-11-03,2023-11-03,110
3177,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,4,2023-10-26,2023-10-26,163
3178,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,4,2022-10-18,2022-10-18,124
3179,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2015-07-06,2015-07-06,79
3180,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,4,2022-02-25,2022-02-25,165
3181,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2020-07-14,2020-07-14,36
3182,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2016-05-18,2016-05-18,95
3183,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2022-03-31,2022-03-31,171
3184,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,7,2017-01-02,2017-01-02,27
3185,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,4,2021-03-03,2021-03-03,154
3186,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2022-03-07,2022-03-07,110
3187,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2022-07-21,2022-07-21,212
3188,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2022-06-03,2022-06-03,95
3189,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2018-01-09,2018-01-09,89
3190,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,4,2023-07-03,2023-07-03,110
3191,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2020-09-20,2020-09-20,34
3192,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2021-04-03,2021-04-03,38
3193,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2021-03-09,2021-03-09,24
3194,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,Missing,2022-07-22,28
3195,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2021-07-03,2021-07-03,150
3196,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2021-12-30,Missing,133
3197,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2016-08-22,2016-08-22,75
3198,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2018-12-03,2018-12-03,43
3199,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2018-08-18,2018-08-18,92
3200,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2019-12-24,2019-12-24,82
3201,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2015-04-06,Missing,66
3202,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,4,2019-07-29,2019-07-29,91
3203,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,7,2017-08-13,2017-08-13,122
3204,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2020-08-21,2020-08-21,43
3205,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2022-04-25,2022-04-25,114
3206,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2023-10-12,2023-10-12,92
3207,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2018-10-20,2018-10-20,41
3208,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2016-03-04,2016-03-04,32
3209,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2020-12-19,2020-12-19,90
3210,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2020-09-24,2020-09-24,98
3211,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2016-12-01,2016-12-01,86
3212,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,Missing,2017-05-29,94
3213,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2022-07-30,2022-07-30,124
3216,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,7,2020-04-29,2020-04-29,131
3217,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2016-01-30,2016-01-30,37
3218,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2022-01-04,2022-01-04,137
3219,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,4,2015-05-29,2015-05-29,77
3220,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,7,2022-07-25,2022-07-25,109
3221,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2021-03-12,2021-03-12,34
3222,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2019-09-20,2019-09-20,108
3223,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2019-05-23,2019-05-23,90
3224,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,4,2020-01-20,2020-01-20,125
3225,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2023-01-31,2023-01-31,113
3226,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2016-05-05,2016-05-05,19
3227,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2023-12-13,2023-12-13,31
3228,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2020-10-21,Missing,134
3229,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2023-06-02,2023-06-02,25
3230,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2019-12-28,2019-12-28,135
3231,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,7,2015-04-09,2015-04-09,16
3233,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,4,2023-06-15,2023-06-15,204
3234,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,7,2021-07-23,2021-07-23,115
3235,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2022-04-16,2022-04-16,133
3236,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,4,2021-08-14,2021-08-14,123
3237,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2015-09-26,2015-09-26,79
3238,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,7,2017-01-17,2017-01-17,71
3239,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2022-07-11,2022-07-11,33
3240,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2019-10-14,2019-10-14,113
3241,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2017-01-29,2017-01-29,82
3242,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2023-12-12,2023-12-12,180
3243,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2016-10-25,2016-10-25,65
3244,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2015-08-12,2015-08-12,25
3245,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2023-08-24,2023-08-24,26
3246,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2019-09-20,2019-09-20,100
3247,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2023-05-10,Missing,31
3248,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,4,2018-07-08,2018-07-08,116
3249,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2019-07-15,Missing,109
3250,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2023-11-06,2023-11-06,132
3251,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2015-03-29,Missing,64
3252,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2019-07-30,2019-07-30,69
3254,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2023-12-26,2023-12-26,92
3255,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2017-01-17,2017-01-17,78
3256,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2018-01-01,2018-01-01,102
3257,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,4,2020-04-05,2020-04-05,62
3258,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,2,2017-04-12,2017-04-12,35
3259,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2019-07-11,2019-07-11,34
3260,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2019-10-01,2019-10-01,154
3261,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2020-05-15,2020-05-15,176
3262,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2022-10-06,2022-10-06,147
3264,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2019-10-14,2019-10-14,91
3265,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2015-12-31,2015-12-31,27
3266,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,Missing,2022-04-10,43
3268,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2023-11-05,2023-11-05,36
3270,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2017-02-16,2017-02-16,71
3271,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2016-07-24,Missing,20
3272,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2021-08-07,2021-08-07,114
3273,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2015-08-18,2015-08-18,70
3274,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,7,2018-03-04,2018-03-04,68
3275,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2015-10-20,2015-10-20,28
3276,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2021-11-29,2021-11-29,113
3277,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,7,2023-01-12,2023-01-12,120
3278,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2023-06-02,2023-06-02,92
3279,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2022-10-25,2022-10-25,26
3280,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2017-06-24,2017-06-24,27
3281,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,Missing,2022-01-23,90
3282,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2017-03-12,2017-03-12,97
3283,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2017-02-10,2017-02-10,107
3284,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,7,Missing,2020-05-05,98
3285,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,7,2023-11-16,2023-11-16,40
3286,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2016-02-06,2016-02-06,76
3287,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2017-03-30,2017-03-30,27
3288,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,4,2015-05-09,2015-05-09,59
3289,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2015-03-28,2015-03-28,56
